Well1_Depth,Well1_RHOB,Well2_Depth,Well2_RHOB,Well3_Depth,Well3_RHOB
2994.5076,1.9978,3130.4484,1.9573,2939.4912,2.1257
2994.66,2.0108,3130.6008,1.95,2939.6436,2.1053
2994.8124,2.0022,3130.7532,1.9507,2939.796,2.0862
2994.9648,1.9949,3130.9056,1.9622,2939.9484,2.0782
2995.1172,2.0121,3131.058,1.9698,2940.1008,2.1277
2995.2696,2.031,3131.2104,1.9654,2940.2532,2.1638
2995.422,2.0443,3131.3628,1.941,2940.4056,2.1622
2995.5744,2.0332,3131.5152,1.9102,2940.558,2.1114
2995.7268,2.0273,3131.6676,1.9076,2940.7104,2.0995
2995.8792,2.0271,3131.82,1.92,2940.8628,2.0686
2996.0316,2.0304,3131.9724,1.9353,2941.0152,2.0587
2996.184,2.0305,3132.1248,1.9365,2941.1676,2.0506
2996.3364,2.0299,3132.2772,1.9565,2941.32,2.0513
2996.4888,2.028,3132.4296,1.9898,2941.4724,2.0547
2996.6412,2.02,3132.582,2.0058,2941.6248,2.0648
2996.7936,1.9993,3132.7344,2.0215,2941.7772,2.0793
2996.946,1.9734,3132.8868,2.0375,2941.9296,2.0994
2997.0984,1.9504,3133.0392,2.0528,2942.082,2.1081
2997.2508,1.9514,3133.1916,2.0467,2942.2344,2.1074
2997.4032,1.9613,3133.344,2.0292,2942.3868,2.0646
2997.5556,1.9704,3133.4964,2.0108,2942.5392,2.0507
2997.708,1.9758,3133.6488,2.0021,2942.6916,2.0286
2997.8604,1.9916,3133.8012,2.009,2942.844,2.0214
2998.0128,1.9994,3133.9536,2.0271,2942.9964,2.0126
2998.1652,1.9303,3134.106,2.0569,2943.1488,2.0062
2998.3176,1.8871,3134.2584,2.1004,2943.3012,2.0086
2998.47,1.9088,3134.4108,2.097,2943.4536,2.0128
2998.6224,1.9551,3134.5632,2.0863,2943.606,2.0141
2998.7748,1.986,3134.7156,2.0895,2943.7584,2.0133
2998.9272,2.0261,3134.868,2.1071,2943.9108,2.0139
2999.0796,2.0528,3135.0204,2.0947,2944.0632,2.0152
2999.232,2.0588,3135.1728,2.0698,2944.2156,2.0163
2999.3844,2.0405,3135.3252,2.045,2944.368,2.0254
2999.5368,2.0192,3135.4776,2.0392,2944.5204,2.037
2999.6892,1.9994,3135.63,2.0469,2944.6728,2.0452
2999.8416,1.9858,3135.7824,2.0592,2944.8252,2.0427
2999.994,1.9846,3135.9348,2.0516,2944.9776,2.0311
3000.1464,1.9868,3136.0872,2.0372,2945.13,2.0203
3000.2988,1.9971,3136.2396,2.0464,2945.2824,2.0209
3000.4512,2.0147,3136.392,2.0683,2945.4348,2.0311
3000.6036,2.0406,3136.5444,2.0941,2945.5872,2.0653
3000.756,2.0632,3136.6968,2.1071,2945.7396,2.0877
3000.9084,2.0739,3136.8492,2.0739,2945.892,2.0919
3001.0608,2.0791,3137.0016,2.0238,2946.0444,2.0874
3001.2132,2.0536,3137.154,2.0032,2946.1968,2.0758
3001.3656,2.0257,3137.3064,2.0199,2946.3492,2.0612
3001.518,2.0044,3137.4588,2.0341,2946.5016,2.0478
3001.6704,1.99,3137.6112,2.0398,2946.654,2.0509
3001.8228,1.9815,3137.7636,2.0418,2946.8064,2.0716
3001.9752,2.0021,3137.916,2.0435,2946.9588,2.0921
3002.1276,2.0225,3138.0684,2.0487,2947.1112,2.0985
3002.28,2.0348,3138.2208,2.0498,2947.2636,2.0961
3002.4324,2.0225,3138.3732,2.04,2947.416,2.0977
3002.5848,2.0093,3138.5256,2.023,2947.5684,2.1039
3002.7372,2.0016,3138.678,2.0052,2947.7208,2.1072
3002.8896,2.0186,3138.8304,1.9965,2947.8732,2.1069
3003.042,2.0337,3138.9828,1.9851,2948.0256,2.1015
3003.1944,2.0482,3139.1352,1.9916,2948.178,2.092
3003.3468,2.0583,3139.2876,1.9991,2948.3304,2.0796
3003.4992,2.0658,3139.44,1.9983,2948.4828,2.0667
3003.6516,2.0689,3139.5924,1.9931,2948.6352,2.0499
3003.804,2.0541,3139.7448,2.0152,2948.7876,2.0642
3003.9564,2.0423,3139.8972,2.1703,2948.94,2.0829
3004.1088,2.0481,3140.0496,2.2356,2949.0924,2.095
3004.2612,2.0635,3140.202,2.1277,2949.2448,2.0918
3004.4136,2.0816,3140.3544,1.9425,2949.3972,2.0778
3004.566,2.072,3140.5068,1.9412,2949.5496,2.0605
3004.7184,2.0579,3140.6592,2.031,2949.702,2.0594
3004.8708,2.0484,3140.8116,2.1071,2949.8544,2.0711
3005.0232,2.0558,3140.964,2.1596,2950.0068,2.0831
3005.1756,2.0512,3141.1164,2.2016,2950.1592,2.1043
3005.328,2.0426,3141.2688,2.2283,2950.3116,2.1155
3005.4804,2.0379,3141.4212,2.2839,2950.464,2.1452
3005.6328,2.0511,3141.5736,2.3096,2950.6164,2.2274
3005.7852,2.0688,3141.726,2.3369,2950.7688,2.3454
