f,2dsth,2dstp,2dsts,3dst,WT
99.5,0.171997575,0.155874387,0.448867125,0.681726003,0.646156907
100,0.182483643,0.147375577,0.453759815,0.671070832,0.651006962
100.5,0.192969711,0.138876767,0.45002665,0.660415661,0.655857016
101,0.203455779,0.130377957,0.441509746,0.661770304,0.660707071
101.5,0.210916577,0.121879147,0.432992842,0.677555795,0.665557125
102,0.209994064,0.113380337,0.424475939,0.693341285,0.670407179
102.5,0.20907155,0.104881527,0.415959035,0.709126776,0.675257234
103,0.208149037,0.096382717,0.407442131,0.724912267,0.680107288
103.5,0.207226524,0.087883907,0.398925228,0.740697758,0.684957342
104,0.206304011,0.079385096,0.390408324,0.756483249,0.689807397
104.5,0.205381498,0.070886286,0.38189142,0.772268739,0.694657451
105,0.204458985,0.062387476,0.373374517,0.78805423,0.699507505
105.5,0.203536472,0.053888666,0.364857613,0.803839721,0.70435756
106,0.202613959,0.045389856,0.356340709,0.819625212,0.709207614
106.5,0.201691446,0.036891046,0.347823806,0.798069506,0.714057669
107,0.200768933,0.093236393,0.339306902,0.764243457,0.718907723
107.5,0.19984642,0.157503819,0.330789998,0.730417407,0.723757777
108,0.199471485,0.151161436,0.322273095,0.696591358,0.728607832
108.5,0.201501043,0.144819053,0.313756191,0.662765309,0.733457886
109,0.203530601,0.13847667,0.305239287,0.62893926,0.73830794
109.5,0.205560159,0.132134287,0.296722384,0.595113211,0.743157995
110,0.207589716,0.125791904,0.28820548,0.561287162,0.748008049
110.5,0.209619274,0.119449521,0.279688576,0.527461113,0.752858104
111,0.211648832,0.13250303,0.271171673,0.493635064,0.757708158
111.5,0.21367839,0.206920331,0.262654769,0.459809015,0.762558212
112,0.215707948,0.281337632,0.254137865,0.425982966,0.767408267
112.5,0.217737506,0.355754933,0.245620962,0.392156917,0.772258321
113,0.219767064,0.430172234,0.237104058,0.358330868,0.777108375
113.5,0.221796622,0.504589536,0.228587154,0.345294578,0.78195843
114,0.221928245,0.579006837,0.220070251,0.354427582,0.786808484
114.5,0.217521964,0.653424138,0.211553347,0.363560585,0.791658538
115,0.213115684,0.727841439,0.203036443,0.372693589,0.796508593
115.5,0.208709404,0.80225874,0.19451954,0.381826593,0.801358647
116,0.204303124,0.876676041,0.186002636,0.390959597,0.806208702
116.5,0.199896844,0.951093342,0.177485732,0.385608116,0.810572012
117,0.195490564,1.025510643,0.175976296,0.367849386,0.814518383
117.5,0.191084284,1.099927944,0.187507927,0.350090656,0.818464753
118,0.186678004,1.174345245,0.199039557,0.332331925,0.822411124
118.5,0.182271724,1.152920933,0.210571188,0.314573195,0.826357495
119,0.177865444,1.128678932,0.222102818,0.296814465,0.830303866
119.5,0.173459163,1.104436931,0.233634449,0.279055735,0.834250237
120,0.169052883,1.080194929,0.245166079,0.261297005,0.838196607
120.5,0.164646603,1.055952928,0.25669771,0.243538275,0.842142978
